Inter ID,InChI,Smile
Inter_0000000306,"InChI=1S/C17H30NO9P/c19-14(13-27-28(22,23)24)12-25-10-7-5-3-1-2-4-6-8-16(20)18-15-9-11-26-17(15)21/h15H,1-13H2,(H,18,20)(H2,22,23,24)/t15-/m0/s1",O=C(COCCCCCCCCCC(O)=N[C@H]1CCOC1=O)COP(=O)(O)O
Inter_0000000307,"InChI=1S/C15H27O9P/c16-13(10-15(18)19)8-6-4-2-1-3-5-7-9-23-11-14(17)12-24-25(20,21)22/h1-12H2,(H,18,19)(H2,20,21,22)",O=C(O)CC(=O)CCCCCCCCCOCC(=O)COP(=O)(O)O
Inter_0000000308,"InChI=1S/C6H11O8P/c1-3(7)5(9)6(10)4(8)2-14-15(11,12)13/h5-6,9-10H,2H2,1H3,(H2,11,12,13)",CC(=O)C(O)C(O)C(=O)COP(=O)(O)O
Inter_0000000309,"InChI=1S/C22H36N4O14P2S/c1-22(2,18(30)20(32)25-6-5-15(27)24-7-9-43)12-38-42(35,36)40-41(33,34)37-11-14-16(28)17(29)21(39-14)26-8-3-4-13(10-26)19(23)31/h3-4,8,10,14,16-18,21,28-30H,5-7,9,11-12H2,1-2H3,(H6-,23,24,25,27,31,32,33,34,35,36,43)/p+2/t14?,16?,17?,18-,21?/m0/s1",CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC([n+]2cccc(C(=[NH2+])O)c2)C(O)C1O)[C@@H](O)C(O)=NCCC(O)=NCCS
Inter_0000000310,"InChI=1S/C21H20O12/c22-6-15-17(28)18(29)19(30)21(33-15)32-14-5-9-10(24)3-8(23)4-13(9)31-20(14)7-1-11(25)16(27)12(26)2-7/h1-5,15,17-19,21-22,28-30H,6H2,(H4-,23,24,25,26,27)/p+1",OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O
Inter_0000000311,"InChI=1S/C21H20O11/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26)/p+1",OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(O)C(O)C1O
Inter_0000000312,"InChI=1S/C28H32O14/c1-36-16-9-14(10-17(37-2)23(16)32)5-7-21(30)41-27-26(35)25(34)20(13-29)40-28(27)42-22(31)8-6-15-11-18(38-3)24(33)19(12-15)39-4/h5-12,20,25-29,32-35H,13H2,1-4H3",COc1cc(C=CC(=O)OC2OC(CO)C(O)C(O)C2OC(=O)C=Cc2cc(OC)c(O)c(OC)c2)cc(OC)c1O
Inter_0000000313,"InChI=1S/C16H23NO5/c1-17(2,3)8-9-22-15(18)7-6-12-10-13(20-4)16(19)14(11-12)21-5/h6-7,10-11H,8-9H2,1-5H3/p+1",COc1cc(C=CC(=O)OCC[N+](C)(C)C)cc(OC)c1O
Inter_0000000314,"InChI=1S/C15H16O9/c1-22-10-5-8(3-4-12(17)18)6-11(23-2)14(10)24-15(21)9(16)7-13(19)20/h3-6,9,16H,7H2,1-2H3,(H,17,18)(H,19,20)",COc1cc(C=CC(=O)O)cc(OC)c1OC(=O)C(O)CC(=O)O
Inter_0000000315,"InChI=1S/C6H14NO8P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-6,8-11H,7H2,(H2,12,13,14)",NC1C(O)C(O)C(OP(=O)(O)O)C(O)C1O
Inter_0000000316,"InChI=1S/C7H17N4O7P/c8-1-3(12)2(11-7(9)10)6(5(14)4(1)13)18-19(15,16)17/h1-6,12-14H,8H2,(H4,9,10,11)(H2,15,16,17)",N=C(N)NC1C(O)C(N)C(O)C(O)C1OP(=O)(O)O
Inter_0000000317,"InChI=1S/C18H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h6-7,9-10,12-13,18H,2-5,8,11,14-17H2,1H3/b7-6-,10-9-,13-12?",CCCCC/C=C\C/C=C\CC=CCCCCC=O
Inter_0000000318,"InChI=1S/C18H23NO4/c1-3-22-18(21)16-14-10-9-13(19(14)2)11-15(16)23-17(20)12-7-5-4-6-8-12/h4-8,13-16H,3,9-11H2,1-2H3",CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
Inter_0000000319,"InChI=1S/C10H13N4O8PS/c15-5-3(1-21-23(18,19)20)22-9(6(5)16)14-2-11-4-7(14)12-10(17)13-8(4)24/h2-3,5-6,9,15-16H,1H2,(H2,18,19,20)(H2,12,13,17,24)",O=P(O)(O)OCC1OC(n2cnc3c(S)nc(O)nc32)C(O)C1O
Inter_0000000320,"InChI=1S/C45H62N6O12/c1-21-36-24(10-13-32(56)57)41(3,4)28(49-36)18-27-23(9-12-31(54)55)43(6,19-29(46)52)39(48-27)22(2)37-25(11-14-33(58)59)44(7,20-30(47)53)45(8,51-37)40-26(17-35(62)63)42(5,38(21)50-40)16-15-34(60)61/h18,23-26,40,51H,9-17,19-20H2,1-8H3,(H2,46,52)(H2,47,53)(H,54,55)(H,56,57)(H,58,59)(H,60,61)(H,62,63)",CC1=C2N=C(C=C3N=C(C(C)=C4NC(C)(C5N=C1C(C)(CCC(=O)O)C5CC(=O)O)C(C)(CC(=N)O)C4CCC(=O)O)C(C)(CC(=N)O)C3CCC(=O)O)C(C)(C)C2CCC(=O)O
Inter_0000000321,"InChI=1S/C45H60N4O14/c1-21-36-24(10-13-30(52)53)41(3,4)28(47-36)18-27-23(9-12-29(50)51)43(6,19-34(60)61)39(46-27)22(2)37-25(11-14-31(54)55)44(7,20-35(62)63)45(8,49-37)40-26(17-33(58)59)42(5,38(21)48-40)16-15-32(56)57/h18,23-26,40,49H,9-17,19-20H2,1-8H3,(H,50,51)(H,52,53)(H,54,55)(H,56,57)(H,58,59)(H,60,61)(H,62,63)",CC1=C2N=C(C=C3N=C(C(C)=C4NC(C)(C5N=C1C(C)(CCC(=O)O)C5CC(=O)O)C(C)(CC(=O)O)C4CCC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O)C(C)(C)C2CCC(=O)O
Inter_0000000322,"InChI=1S/C10H13N4O9P/c15-5-3(1-22-24(19,20)21)23-9(6(5)16)14-2-11-4-7(14)12-10(18)13-8(4)17/h2-3,5-6,9,15-16H,1H2,(H2,19,20,21)(H2,12,13,17,18)",O=P(O)(O)OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O
Inter_0000000323,"InChI=1S/C8H15N2O9P/c11-3-9-1-5(12)10-8-7(14)6(13)4(19-8)2-18-20(15,16)17/h3-4,6-8,13-14H,1-2H2,(H,9,11)(H,10,12)(H2,15,16,17)",O=P(O)(O)OCC1OC(N=C(O)CN=CO)C(O)C1O
Inter_0000000324,"InChI=1S/C45H61N5O13/c1-21-36-24(10-13-31(54)55)41(3,4)28(48-36)18-27-23(9-12-30(52)53)43(6,19-29(46)51)39(47-27)22(2)37-25(11-14-32(56)57)44(7,20-35(62)63)45(8,50-37)40-26(17-34(60)61)42(5,38(21)49-40)16-15-33(58)59/h18,23-26,40,50H,9-17,19-20H2,1-8H3,(H2,46,51)(H,52,53)(H,54,55)(H,56,57)(H,58,59)(H,60,61)(H,62,63)",CC1=C2N=C(C=C3N=C(C(C)=C4NC(C)(C5N=C1C(C)(CCC(=O)O)C5CC(=O)O)C(C)(CC(=O)O)C4CCC(=O)O)C(C)(CC(=N)O)C3CCC(=O)O)C(C)(C)C2CCC(=O)O
Inter_0000000325,"InChI=1S/C12H20N4O6/c1-6(17)15-7(2-4-9(13)18)11(20)16-8(12(21)22)3-5-10(14)19/h7-8H,2-5H2,1H3,(H2,13,18)(H2,14,19)(H,15,17)(H,16,20)(H,21,22)",CC(O)=NC(CCC(=N)O)C(O)=NC(CCC(=N)O)C(=O)O
Inter_0000000326,"InChI=1S/C7H10N2O5/c8-4(7(13)14)3-9-5(10)1-2-6(11)12/h1-2,4H,3,8H2,(H,9,10)(H,11,12)(H,13,14)",NC(CN=C(O)C=CC(=O)O)C(=O)O
Inter_0000000327,"InChI=1S/C13H8N2O2/c16-13(17)8-4-3-7-11-12(8)15-10-6-2-1-5-9(10)14-11/h1-7H,(H,16,17)",O=C(O)c1cccc2nc3ccccc3nc12
Inter_0000000328,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)",NC(CS)C(O)=NCC(=O)O
Inter_0000000329,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2",O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
Inter_0000000330,"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/p+1",CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC[N+](C)(C)C
Inter_0000000331,"InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/p+1",CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C
Inter_0000000332,"InChI=1S/C23H42NO10P/c25-19(16-22(27)24-21-13-15-33-23(21)28)12-10-8-6-4-2-1-3-5-7-9-11-14-32-17-20(26)18-34-35(29,30)31/h19,21,25H,1-18H2,(H,24,27)(H2,29,30,31)",O=C(COCCCCCCCCCCCCCC(O)CC(O)=NC1CCOC1=O)COP(=O)(O)O
Inter_0000000333,"InChI=1S/C26H50NO10P/c1-27(2,3)20-24(19-25(29)30)37-26(31)17-15-13-11-9-7-5-4-6-8-10-12-14-16-18-35-21-23(28)22-36-38(32,33)34/h24H,4-22H2,1-3H3,(H2-,29,30,32,33,34)/p+1/t24-/m1/s1",C[N+](C)(C)C[C@@H](CC(=O)O)OC(=O)CCCCCCCCCCCCCCCOCC(=O)COP(=O)(O)O
Inter_0000000334,"InChI=1S/C21H30NO7P/c23-18(16-29-30(25,26)27)15-28-13-9-5-3-1-2-4-6-10-17-14-21(24)19-11-7-8-12-20(19)22-17/h7-8,11-12,14H,1-6,9-10,13,15-16H2,(H,22,24)(H2,25,26,27)",O=C(COCCCCCCCCCc1cc(=O)c2ccccc2[nH]1)COP(=O)(O)O
Inter_0000000335,"InChI=1S/C17H33NO5/c1-5-6-7-8-9-10-14(19)13-17(22)23-15(18(2,3)4)11-12-16(20)21/h14-15,19H,5-13H2,1-4H3/p+1",CCCCCCCC(O)CC(=O)OC(CCC(=O)O)[N+](C)(C)C
Inter_0000000336,"InChI=1S/C19H37NO5/c1-5-6-7-8-9-10-11-12-16(21)13-19(24)25-17(14-18(22)23)15-20(2,3)4/h16-17,21H,5-15H2,1-4H3/p+1/t16?,17-/m1/s1",CCCCCCCCCC(O)CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000337,"InChI=1S/C21H41NO5/c1-5-6-7-8-9-10-11-12-13-14-18(23)15-21(26)27-19(16-20(24)25)17-22(2,3)4/h18-19,23H,5-17H2,1-4H3/p+1/t18?,19-/m1/s1",CCCCCCCCCCCC(O)CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000338,"InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/p+1/t9-/m1/s1",CCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000339,"InChI=1S/C12H23NO4/c1-9(2)6-12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3/p+1/t10-/m1/s1",CC(C)CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000340,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/p+1/t13-/m1/s1",CCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000341,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/p+1/t8-/m1/s1",CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000342,"InChI=1S/C11H19NO6/c1-12(2,3)7-8(6-10(15)16)18-11(17)5-4-9(13)14/h8H,4-7H2,1-3H3,(H-,13,14,15,16)/p+1/t8-/m1/s1",C[N+](C)(C)C[C@@H](CC(=O)O)OC(=O)CCC(=O)O
Inter_0000000343,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/p+1/t21-/m1/s1",CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000344,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/p+1/t8-/m1/s1",CCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000345,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/p+1/t17-/m1/s1",CCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000346,"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/p+1/t15-/m1/s1",CCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000347,"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/p+1/t19-/m1/s1",CCCCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000348,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3/p+1/t23-/m1/s1",CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000349,"InChI=1S/C27H53NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h25H,5-24H2,1-4H3/p+1/t25-/m1/s1",CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000350,"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h8-9,19H,5-7,10-18H2,1-4H3/p+1/t19-/m1/s1",CCCCC=CCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000351,"InChI=1S/C21H39NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h12-13,19H,5-11,14-18H2,1-4H3/p+1/t19-/m1/s1",CCCCCCCCC=CCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000352,"InChI=1S/C25H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h12-13,23H,5-11,14-22H2,1-4H3/p+1/t23-/m1/s1",CCCCCCCCC=CCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000353,"InChI=1S/C18H35NO4/c1-14(2)8-7-9-15(3)10-11-18(22)23-16(12-17(20)21)13-19(4,5)6/h14-16H,7-13H2,1-6H3/p+1/t15?,16-/m1/s1",CC(C)CCCC(C)CCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000354,"InChI=1S/C13H25NO4/c1-5-6-7-8-13(17)18-11(9-12(15)16)10-14(2,3)4/h11H,5-10H2,1-4H3/p+1/t11-/m1/s1",CCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000355,"InChI=1S/C11H21NO4/c1-8(2)11(15)16-9(6-10(13)14)7-12(3,4)5/h8-9H,6-7H2,1-5H3/p+1/t9-/m1/s1",CC(C)C(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000356,"InChI=1S/C12H23NO4/c1-6-9(2)12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3/p+1/t9?,10-/m1/s1",CCC(C)C(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000357,"InChI=1S/C11H19NO5/c1-8(13)5-11(16)17-9(6-10(14)15)7-12(2,3)4/h9H,5-7H2,1-4H3/p+1/t9-/m1/s1",CC(=O)CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000358,"InChI=1S/C11H21NO5/c1-8(13)5-11(16)17-9(6-10(14)15)7-12(2,3)4/h8-9,13H,5-7H2,1-4H3/p+1/t8?,9-/m1/s1",CC(O)CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000359,"InChI=1S/C16H31NO4/c1-12(2)8-7-9-13(3)16(20)21-14(10-15(18)19)11-17(4,5)6/h12-14H,7-11H2,1-6H3/p+1/t13?,14-/m1/s1",CC(C)CCCC(C)C(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000360,"InChI=1S/C11H19NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h5-6,9H,7-8H2,1-4H3/p+1/t9-/m1/s1",CC=CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
Inter_0000000361,"InChI=1S/C22H36N7O17P3S/c1-22(2,17(33)20(34)25-4-3-13(31)24-5-6-50-11-30)8-43-49(40,41)46-48(38,39)42-7-12-16(45-47(35,36)37)15(32)21(44-12)29-10-28-14-18(23)26-9-27-19(14)29/h9-12,15-17,21,32-33H,3-8H2,1-2H3,(H,24,31)(H,25,34)(H,38,39)(H,40,41)(H2,23,26,27)(H2,35,36,37)",CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC=O
Inter_0000000362,"InChI=1S/C22H24O11/c1-30-14-3-2-9(4-11(14)24)15-7-13(26)18-12(25)5-10(6-16(18)32-15)31-22-21(29)20(28)19(27)17(8-23)33-22/h2-6,15,17,19-25,27-29H,7-8H2,1H3/t15?,17-,19-,20+,21-,22?/m1/s1",COc1ccc(C2CC(=O)c3c(O)cc(OC4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O
Inter_0000000363,"InChI=1S/C23H34NO8P/c25-18(17-32-33(28,29)30)16-31-15-11-7-5-3-1-2-4-6-8-14-21-23(27)22(26)19-12-9-10-13-20(19)24-21/h9-10,12-13,27H,1-8,11,14-17H2,(H,24,26)(H2,28,29,30)",O=C(COCCCCCCCCCCCc1[nH]c2ccccc2c(=O)c1O)COP(=O)(O)O
Inter_0000000364,"InChI=1S/C30H41N7O16P2S/c1-30(2,25(44)28(45)33-8-7-20(40)32-9-10-56-21(41)6-4-16-3-5-17(38)18(39)11-16)13-51-55(48,49)53-54(46,47)50-12-19-23(42)24(43)29(52-19)37-15-36-22-26(31)34-14-35-27(22)37/h3-6,11,14-15,19,23-25,29,38-39,42-44H,7-10,12-13H2,1-2H3,(H,32,40)(H,33,45)(H,46,47)(H,48,49)(H2,31,34,35)/b6-4+/t19-,23-,24-,25+,29-/m1/s1",CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)/C=C/c1ccc(O)c(O)c1
Inter_0000000365,"InChI=1S/C21H20O10/c22-8-16-17(26)18(27)19(28)21(31-16)30-15-7-12-13(25)5-11(24)6-14(12)29-20(15)9-1-3-10(23)4-2-9/h1-7,16-19,21-22,26-28H,8H2,(H2-,23,24,25)/p+1",OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)C(O)C(O)C1O
Inter_0000000366,"InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)",CN1c2c(O)nc(=N)[nH]c2NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
Inter_0000000367,"InChI=1S/C4H4O6/c5-1(3(7)8)2(6)4(9)10/h5-6H,(H,7,8)(H,9,10)",O=C(O)C(O)=C(O)C(=O)O
Inter_0000000368,"InChI=1S/C14H19N3O7S/c15-7(13(21)22)2-1-3-8(19)16-9-11(20)17-10(14(23)24)6(4-18)5-25-12(9)17/h7,9,12,18H,1-5,15H2,(H,16,19)(H,21,22)(H,23,24)",NC(CCCC(O)=NC1C(=O)N2C(C(=O)O)=C(CO)CSC12)C(=O)O
Inter_0000000369,"InChI=1S/C23H40N2O16P2S/c1-23(2,12-39-43(36,37)41-42(34,35)38-11-15-17(28)18(29)21(32)40-15)19(30)20(31)25-8-7-16(27)24-9-10-44-22(33)13-5-3-4-6-14(13)26/h13,15,17-19,21,28-30,32H,3-12H2,1-2H3,(H,24,27)(H,25,31)(H,34,35)(H,36,37)",CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(O)C(O)C1O)C(O)C(=O)NCCC(=O)NCCSC(=O)C1CCCCC1=O
Inter_0000000370,"InChI=1S/C18H27N2O9PS/c1-18(2,11-29-30(26,27)28)15(23)16(24)20-8-7-14(22)19-9-10-31-17(25)12-3-5-13(21)6-4-12/h3-6,15,21,23H,7-11H2,1-2H3,(H,19,22)(H,20,24)(H2,26,27,28)/p+1",CC(C)(COP(=O)(O)O)C(O)C(O)=NCCC(O)=[NH+]CCSC(=O)c1ccc(O)cc1
Inter_0000000371,"InChI=1S/C30H46N5O10PS/c1-18(10-13-30(5)19(2)8-9-20-21(30)7-6-12-29(20,3)4)11-14-34-16-33-27-23(26(34)31)32-17-35(27)28-25(37)24(36)22(44-28)15-43-46(38,39)45-47(40,41)42/h9,11,16-17,19,21-22,24-25,28,31,36-37H,6-8,10,12-15H2,1-5H3,(H,38,39)(H,40,41,42)/t19?,21?,22-,24-,25-,28-,30?/m1/s1",CC(=CCn1cnc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]2O)c1=N)CCC1(C)C(C)CC=C2C1CCCC2(C)C
Inter_0000000372,"InChI=1S/C11H15N2O8P/c12-10(16)6-2-1-3-13(4-6)11-9(15)8(14)7(21-11)5-20-22(17,18)19/h1-4,7-9,11,14-15H,5H2,(H3-,12,16,17,18,19)/t7-,8-,9-,11-/m1/s1",N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1
Inter_0000000373,"InChI=1S/C30H47N5O10P2/c1-18(10-13-30(5)19(2)8-9-20-21(30)7-6-12-29(20,3)4)11-14-34-16-33-27-23(26(34)31)32-17-35(27)28-25(37)24(36)22(44-28)15-43-47(41,42)45-46(38,39)40/h9,11,16-17,19,21-22,24-25,28,31,36-37H,6-8,10,12-15H2,1-5H3,(H,41,42)(H2,38,39,40)/p+1/t19?,21?,22-,24-,25-,28-,30?/m1/s1",CC(=CCn1cnc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c1=[NH2+])CCC1(C)C(C)CC=C2C1CCCC2(C)C
Inter_0000000374,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)",O=C(O)c1cc(O)nc(O)n1
Inter_0000000375,"InChI=1S/C11H18N5O14P3/c1-15-3-16(8-5(15)9(19)14-11(12)13-8)10-7(18)6(17)4(28-10)2-27-32(23,24)30-33(25,26)29-31(20,21)22/h3-4,6-7,10,17-18H,2H2,1H3,(H6-,12,13,14,19,20,21,22,23,24,25,26)/p+1",C[n+]1cn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c2[nH]c(=N)nc(O)c21
Inter_0000000376,"InChI=1S/C27H30O15/c1-9-19(32)21(34)23(36)26(39-9)38-8-18-20(33)22(35)24(37)27(42-18)41-17-7-12-14(30)5-11(28)6-16(12)40-25(17)10-2-3-13(29)15(31)4-10/h2-7,9,18-24,26-27,32-37H,8H2,1H3,(H3-,28,29,30,31)/p+1",CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O
Inter_0000000377,"InChI=1S/C37H60O3/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-35(39)40-30-24-26-36(2)29(28-30)20-21-31-32-22-23-34(38)37(32,3)27-25-33(31)36/h8-9,11-12,20,30-34,38H,4-7,10,13-19,21-28H2,1-3H3/t30?,31-,32-,33-,34-,36-,37-/m0/s1",CCCCCC=CCC=CCCCCCCCC(=O)OC1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]32)C1
Inter_0000000378,"InChI=1S/C35H55N5O14P2/c1-19(10-13-35(5)20(2)8-9-21-22(35)7-6-12-34(21,3)4)11-14-39-17-38-31-25(30(39)36)37-18-40(31)32-28(43)26(41)23(52-32)15-50-55(46,47)54-56(48,49)51-16-24-27(42)29(44)33(45)53-24/h9,11,17-18,20,22-24,26-29,32-33,36,41-45H,6-8,10,12-16H2,1-5H3,(H,46,47)(H,48,49)/t20?,22?,23-,24-,26-,27-,28-,29-,32-,33-,35?/m1/s1",CC(=CCn1cnc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1=N)CCC1(C)C(C)CC=C2C1CCCC2(C)C
Inter_0000000379,"InChI=1S/C25H44NO9P/c27-22(21-35-36(30,31)32)20-33-18-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-24(28)26-23-17-19-34-25(23)29/h1-2,23H,3-21H2,(H,26,28)(H2,30,31,32)/b2-1-/t23-/m0/s1",O=C(COCCCCCCCC/C=C\CCCCCCCC(O)=N[C@H]1CCOC1=O)COP(=O)(O)O
Inter_0000000380,"InChI=1S/C31H51N7O15P2S/c1-4-5-6-7-8-9-19(39)14-22(41)56-13-12-33-21(40)10-11-34-29(45)26(44)31(2,3)16-51-55(48,49)53-54(46,47)50-15-20-24(42)25(43)30(52-20)38-18-37-23-27(32)35-17-36-28(23)38/h17-18,20,24-26,30,42-44H,4-16H2,1-3H3,(H,33,40)(H,34,45)(H,46,47)(H,48,49)(H2,32,35,36)",CCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
